工程集計ｺｰﾄﾞ,WBS,ﾈｯﾄﾜｰｸ,客先,向先,客先工番,製品名/指図名,管理備考,仕様他,納期,完成日,工程計画内外区分,部品NO,部品名称,工程NO,作業工程ID,作業工程名称,作業者ID,作業者名称,作業者必要量,作業工数,工数確認,全体作業LT,作業区分,工程NO変更ロックフラグ,資源引当ON/OFF,確定フラグ,部品数量,基本工区NO,基本工区名称,前段取工数,後段取工数,必要量計算方法,作業工程備考1,作業工程備考2,作業工程備考3,備考集計用,アクティビティの開始可能日(工程計画),アクティビティの目標終了日(工程計画),エラーメッセージ
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,D001,組立,7111,7111,ﾁｪｯｸ仕上(海組1),D1002,MSBチェック仕上,2.0000,      48 時間 00 分,未確認,      24 時間 00 分,2: 有人作業,OFF,OFF,確定,1,7,組立,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,D001,組立,7211,7211,結線図測長(海組1),D1300,結線図測長,1.0000,      18 時間 00 分,未確認,      18 時間 00 分,2: 有人作業,OFF,OFF,確定,1,7,組立,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,D001,組立,7213,7213,線出(海組1),D1301,線出,1.0000,      26 時間 00 分,未確認,      26 時間 00 分,2: 有人作業,OFF,OFF,確定,1,7,組立,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,D001,組立,7214,7214,銘板彫刻(海組1),D1302,銘板彫刻,1.0000,      14 時間 00 分,未確認,      14 時間 00 分,2: 有人作業,OFF,OFF,確定,1,7,組立,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,D001,組立,7215,7215,銘板取付(海組1),D1003,配電銘板取付,0.5000,       4 時間 00 分,未確認,       8 時間 00 分,2: 有人作業,OFF,OFF,確定,1,7,組立,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,,E001,検査,,,,,,,,未確認,,,,,,1,,,,,,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,,E001,検査,,,,,,,,未確認,,,,,,1,8,検査,,,,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,E001,検査,8102,8102,検査(検1),E1000,海洋配電ﾁｰﾑ,1.0000,      52 時間 00 分,未確認,      52 時間 00 分,2: 有人作業,OFF,OFF,確定,1,8,検査,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,E001,検査,8103,8103,立会受検(検1),E1000,海洋配電ﾁｰﾑ,1.0000,      12 時間 00 分,未確認,      12 時間 00 分,2: 有人作業,OFF,OFF,確定,1,8,検査,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,E001,検査,8104,8104,完成(検1),E9900,完成,1.0000,       0 時間 01 分,未確認,       0 時間 01 分,2: 有人作業,OFF,OFF,確定,1,8,検査,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,,SHIPMENT,出荷,,,,,,,,未確認,,,,,,1,,,,,,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,,SHIPMENT,出荷,,,,,,,,未確認,,,,,,1,9,出荷,,,,,,,,,,
01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,内製,SHIPMENT,出荷,9000,9000,出荷,O9000,出荷,0.5000,       8 時間 00 分,未確認,      16 時間 00 分,2: 有人作業,OFF,OFF,確定,1,9,出荷,       0 時間 00 分,       0 時間 00 分,2: 機械必要量と作業者必要量入力によりLTを自動計算,,,,,,,
