日程計画レベル,オーダ状態コード,オーダ計画状況,工程集計ｺｰﾄﾞ,WBS,ﾈｯﾄﾜｰｸ,客先,向先,客先工番,規格,製品名/指図名,管理備考,仕様他,納期,完成日,マイルストン7,立会,オーダ数量,船種名,屯数,スケジュール状態(オーダ単位),スケジュール結果開始日時(オーダ単位),スケジュール結果終了日時(オーダ単位),納期遅延日数,開始可能日前倒し日数,オーダ着手日時,オーダ実績の最終更新日時,オーダ完了日時
1: 小日程,2: 仕掛中,3: 日程計画反映済,01,S301136-10-A1001000,,波造,波造,SNO.301,JG,主配電盤 AC225V 180KVAx2+85KVA,◆,,2026/03/27 17:00,2026/03/26,,,1,ｶｰｺﾞ,499GT,1: 負荷ｵｰﾊﾞｰ,2025/12/01 14:20,2026/03/27 17:00,0 日,-130 日,2025/12/15 15:42,2025/12/15 15:43,
1: 小日程,2: 仕掛中,3: 日程計画反映済,01,S300780-10-A1001000,,檜垣造船,檜垣造船,SNO.810,NK有人,主配電盤 AC450V 500KVAx3,◆,,2026/03/30 17:00,2026/03/27,,,1,ｹﾐｶﾙ,12000DW,1: 負荷ｵｰﾊﾞｰ,2025/11/24 14:20,2026/03/30 17:00,0 日,-242 日,2025/12/02 09:00,2025/12/02 16:45,
1: 小日程,2: 仕掛中,3: 日程計画反映済,01,S300180-10-A1001000,,ｶﾅｯｸｽ 購買,新来ｻﾉﾔｽ,SNO.1420,LR無人,主配電盤 AC450V 687.5KVAx3 全自動,◆,,2026/03/31 17:00,2026/03/30,,有,1,BC,82000DW,1: 負荷ｵｰﾊﾞｰ,2025/11/27 14:20,2026/03/31 17:00,0 日,-199 日,2025/11/17 15:06,2025/11/17 15:07,
