所属ID,所属名称,資源ID,資源名称,日程計画レベル共通使用区分,資源区分,資源内外区分,ワークパターンNO,実績工数計算用ワークパターンNO,保有量,資源備考1,資源備考2,資源備考3,資源備考4,資源備考5,実績データ出力対象,所属表示順,資源表示順,削除フラグ
P00,部品(ﾀﾞﾐｰ),P9900,部品(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,34,644,0
P50,盤移動(ﾀﾞﾐｰ),P9950,盤移動(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,35,645,0
O00,出荷,O9000,出荷,2,1,内,99999,99999,,,,,,,,36,646,0
F01,付帯S製造(ﾀﾞﾐｰ),F9801,付帯S製造(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,37,647,0
F51,現場対応(ﾀﾞﾐｰ),F9851,現場班作業･舶(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,38,648,0
F51,現場対応(ﾀﾞﾐｰ),F9852,製造ｻｰﾋﾞｽ作業･舶(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,38,649,0
F51,現場対応(ﾀﾞﾐｰ),F9861,現場班作業･陸(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,38,650,0
F51,現場対応(ﾀﾞﾐｰ),F9862,製造ｻｰﾋﾞｽ作業･陸(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,38,651,0
V10,BJ便(ﾀﾞﾐｰ),V9210,BJ便(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,43,656,0
V20,BV便(ﾀﾞﾐｰ),V9220,BV便(ﾀﾞﾐｰ),2,1,内,99999,99999,,,,,,,,44,657,0
